,Date,predicted_load
0,2015-01-01,6127.085738588018
1,2015-01-02,6080.467064537492
2,2015-01-03,5565.803473700638
3,2015-01-04,5482.867286880265
4,2015-01-05,6099.415436723616
5,2015-01-06,6186.930580026038
6,2015-01-07,6209.5615309221575
7,2015-01-08,6185.492950264629
8,2015-01-09,6146.633470060678
9,2015-01-10,5638.720703559633
10,2015-01-11,5561.355677386545
11,2015-01-12,6182.156513098092
12,2015-01-13,6272.5025496741255
13,2015-01-14,6296.476787504823
14,2015-01-15,6272.236549110723
15,2015-01-16,6231.701524658185
16,2015-01-17,5720.657671358534
17,2015-01-18,5638.7895500019185
18,2015-01-19,6253.830999661104
19,2015-01-20,6337.305440008448
20,2015-01-21,6353.4638011226525
21,2015-01-22,6320.650112904202
22,2015-01-23,6270.9840726825
23,2015-01-24,5750.459219691334
24,2015-01-25,5658.969463796426
25,2015-01-26,6264.454033320936
26,2015-01-27,6338.632290417447
27,2015-01-28,6345.9365634300775
28,2015-01-29,6304.87316446391
29,2015-01-30,6247.701029629868
30,2015-01-31,5720.526709140965
31,2015-02-01,5623.328530231913
32,2015-02-02,6224.100048593597
33,2015-02-03,6294.584261732173
34,2015-02-04,6299.206732462754
35,2015-02-05,6256.437763751794
36,2015-02-06,6198.473010731502
37,2015-02-07,5671.331182716516
38,2015-02-08,5574.881563584795
39,2015-02-09,6176.991354468836
40,2015-02-10,6249.264186795627
41,2015-02-11,6255.977818782487
42,2015-02-12,6215.451015887879
43,2015-02-13,6159.728858978011
44,2015-02-14,5634.684993811607
45,2015-02-15,5540.053417942107
46,2015-02-16,6143.579687482318
47,2015-02-17,6216.762784484904
48,2015-02-18,6223.79556801842
49,2015-02-19,6182.933739010925
50,2015-02-20,6126.182513728563
51,2015-02-21,5599.399493187608
52,2015-02-22,5502.326321399081
53,2015-02-23,6102.739034542266
54,2015-02-24,6172.188383386438
55,2015-02-25,6174.938113947544
56,2015-02-26,6129.331216532762
57,2015-02-27,6067.47343359114
58,2015-02-28,5535.332621538464
59,2015-03-01,5432.7666761904065
60,2015-03-02,6027.670045766436
61,2015-03-03,6091.710236980657
62,2015-03-04,6089.262419880928
63,2015-03-05,6038.772256075495
64,2015-03-06,5972.436345532751
65,2015-03-07,5436.298979091366
66,2015-03-08,5330.277982692413
67,2015-03-09,5922.309735982293
68,2015-03-10,5984.084809977493
69,2015-03-11,5979.982348324927
70,2015-03-12,5928.433314757206
71,2015-03-13,5861.601979400298
72,2015-03-14,5325.484288869477
73,2015-03-15,5219.935845846504
74,2015-03-16,5812.819504354281
75,2015-03-17,5875.7439339993225
76,2015-03-18,5873.001184746099
77,2015-03-19,5822.933251834056
78,2015-03-20,5757.616916973363
79,2015-03-21,5222.965391217248
80,2015-03-22,5118.759378053204
81,2015-03-23,5712.797460984466
82,2015-03-24,5776.637078400174
83,2015-03-25,5774.534030519822
84,2015-03-26,5724.810469354106
85,2015-03-27,5659.540586033477
86,2015-03-28,5124.652500643684
87,2015-03-29,5019.958963257844
88,2015-03-30,5613.306781965103
89,2015-03-31,5676.316271506319
90,2015-04-01,5673.31871662508
91,2015-04-02,5622.721867094853
92,2015-04-03,5556.692759574938
93,2015-04-04,5021.256464318704
94,2015-04-05,4916.323467572042
95,2015-04-06,5509.835713457324
96,2015-04-07,5573.502709646013
97,2015-04-08,5571.735800534834
98,2015-04-09,5523.010730143264
99,2015-04-10,5459.547887368826
100,2015-04-11,4927.408918238118
101,2015-04-12,4826.522488999154
102,2015-04-13,5424.829280893914
103,2015-04-14,5494.017660153047
104,2015-04-15,5498.458147050058
105,2015-04-16,5456.566806540576
106,2015-04-17,5400.486933524999
107,2015-04-18,4876.18767839
108,2015-04-19,4783.492339409369
109,2015-04-20,5390.226329049683
110,2015-04-21,5467.956169540468
111,2015-04-22,5480.927541664319
112,2015-04-23,5447.432400815435
113,2015-04-24,5399.494419438668
114,2015-04-25,4882.9712857878485
115,2015-04-26,4797.58647153479
116,2015-04-27,5411.080366408217
117,2015-04-28,5494.952034968353
118,2015-04-29,5513.3995309016045
119,2015-04-30,5484.6887087717805
120,2015-05-01,5440.839735070394
121,2015-05-02,4927.729789868668
122,2015-05-03,4845.124552906628
123,2015-05-04,5460.8283742201165
124,2015-05-05,5546.42440697011
125,2015-05-06,5566.21268052248
126,2015-05-07,5538.576115249226
127,2015-05-08,5495.663759576653
128,2015-05-09,4983.489834075632
129,2015-05-10,4901.961282021531
130,2015-05-11,5519.023841043894
131,2015-05-12,5606.398033644058
132,2015-05-13,5628.51317661273
133,2015-05-14,5603.869531191702
134,2015-05-15,5564.717989454027
135,2015-05-16,5057.155987903387
136,2015-05-17,4981.152441838713
137,2015-05-18,5604.691794385577
138,2015-05-19,5699.508639809389
139,2015-05-20,5730.021063865142
140,2015-05-21,5714.692844995414
141,2015-05-22,5685.7139126023585
142,2015-05-23,5189.09773264795
143,2015-05-24,5124.708372545844
144,2015-05-25,5760.407277921669
145,2015-05-26,5867.791141671416
146,2015-05-27,5911.128913225075
147,2015-05-28,5908.727984200773
148,2015-05-29,5892.618829427546
149,2015-05-30,5408.656650788899
150,2015-05-31,5356.55264694779
151,2015-06-01,6004.024823079019
152,2015-06-02,6122.539595413603
153,2015-06-03,6176.2521306379185
154,2015-06-04,6183.375356836075
155,2015-06-05,6175.866840965648
156,2015-06-06,5699.532013304714
157,2015-06-07,5654.056318088657
158,2015-06-08,6307.156172514796
159,2015-06-09,6430.319990984666
160,2015-06-10,6487.747229610226
161,2015-06-11,6497.715427785068
162,2015-06-12,6492.264501781731
